,ftot
341,0.10291595197255575
342,0.017152658662092625
343,0.017152658662092625
344,0.051457975986277875
345,0.2058319039451115
346,0.03430531732418525
347,0.18867924528301885
348,0.08576329331046312
349,0.12006861063464837
350,0.051457975986277875
351,0.18867924528301885
352,0.03430531732418525
353,0.0686106346483705
354,0.03430531732418525
355,0.051457975986277875
356,0.017152658662092625
357,0.0686106346483705
358,0.12006861063464837
359,0.017152658662092625
360,0.17152658662092624
361,0.0
362,0.017152658662092625
363,0.18867924528301885
364,0.0
365,0.051457975986277875
366,0.08576329331046312
367,0.017152658662092625
368,0.12006861063464837
369,0.017152658662092625
370,0.08576329331046312
371,0.8576329331046312
372,0.051457975986277875
373,0.017152658662092625
374,0.03430531732418525
375,0.10291595197255575
376,0.29159519725557465
377,0.10291595197255575
378,0.03430531732418525
379,0.22298456260720412
380,0.017152658662092625
381,0.08576329331046312
382,0.12006861063464837
383,0.18867924528301885
384,0.0686106346483705
385,0.03430531732418525
386,0.051457975986277875
387,0.051457975986277875
388,0.137221269296741
389,0.08576329331046312
390,0.2058319039451115
391,0.10291595197255575
392,0.017152658662092625
393,0.0686106346483705
394,0.0686106346483705
395,0.017152658662092625
396,0.2058319039451115
397,0.051457975986277875
398,0.017152658662092625
399,0.18867924528301885
400,0.051457975986277875
401,0.2058319039451115
402,0.22298456260720412
403,0.29159519725557465
404,0.22298456260720412
405,0.10291595197255575
406,0.017152658662092625
407,0.10291595197255575
408,0.0686106346483705
409,0.0
410,0.08576329331046312
411,0.24013722126929674
412,0.03430531732418525
413,0.2058319039451115
414,0.051457975986277875
415,0.12006861063464837
416,0.051457975986277875
417,0.03430531732418525
418,0.03430531732418525
419,0.03430531732418525
420,0.017152658662092625
421,0.017152658662092625
422,0.12006861063464837
423,0.12006861063464837
424,0.10291595197255575
425,0.17152658662092624
426,0.051457975986277875
427,0.017152658662092625
428,0.137221269296741
429,0.03430531732418525
430,0.03430531732418525
431,0.03430531732418525
432,0.17152658662092624
433,0.03430531732418525
434,0.051457975986277875
435,0.15437392795883362
436,0.0686106346483705
437,0.017152658662092625
438,0.017152658662092625
439,0.18867924528301885
440,0.0686106346483705
441,0.03430531732418525
442,0.10291595197255575
443,0.15437392795883362
444,0.08576329331046312
445,0.25728987993138935
446,0.12006861063464837
447,0.03430531732418525
448,0.0
449,0.10291595197255575
450,0.18867924528301885
451,0.2058319039451115
452,0.15437392795883362
453,0.08576329331046312
454,0.2058319039451115
455,0.18867924528301885
456,0.08576329331046312
457,0.0686106346483705
458,0.08576329331046312
459,0.22298456260720412
460,0.0
461,0.6003430531732419
462,0.0686106346483705
463,0.137221269296741
464,0.03430531732418525
465,0.25728987993138935
466,0.15437392795883362
467,0.24013722126929674
468,0.08576329331046312
469,0.051457975986277875
470,0.0686106346483705
471,0.051457975986277875
472,0.017152658662092625
473,0.03430531732418525
474,0.0686106346483705
475,0.3259005145797599
476,0.12006861063464837
477,0.0686106346483705
478,0.17152658662092624
479,0.18867924528301885
480,0.051457975986277875
481,0.0686106346483705
482,0.03430531732418525
483,0.03430531732418525
484,0.03430531732418525
485,0.051457975986277875
486,0.10291595197255575
487,0.17152658662092624
488,0.12006861063464837
489,0.017152658662092625
490,0.18867924528301885
491,0.22298456260720412
492,0.03430531732418525
493,0.137221269296741
494,0.24013722126929674
495,0.051457975986277875
496,0.15437392795883362
497,0.12006861063464837
498,0.017152658662092625
499,0.137221269296741
500,0.3259005145797599
501,0.017152658662092625
502,0.03430531732418525
503,0.15437392795883362
504,0.10291595197255575
505,0.17152658662092624
506,0.017152658662092625
507,0.051457975986277875
508,0.051457975986277875
509,0.0686106346483705
510,0.017152658662092625
511,0.34305317324185247
512,0.0686106346483705
513,0.24013722126929674
514,0.0686106346483705
515,0.25728987993138935
516,0.2058319039451115
517,0.10291595197255575
518,0.18867924528301885
519,0.274442538593482
520,0.15437392795883362
521,0.0
522,0.25728987993138935
523,0.24013722126929674
524,0.08576329331046312
525,0.0
526,0.08576329331046312
527,0.0686106346483705
528,0.22298456260720412
529,0.34305317324185247
530,0.30874785591766724
531,0.03430531732418525
532,0.24013722126929674
533,0.10291595197255575
534,0.03430531732418525
535,0.2058319039451115
536,0.0686106346483705
537,0.08576329331046312
538,0.137221269296741
539,0.17152658662092624
540,0.0686106346483705
541,0.22298456260720412
542,0.08576329331046312
543,0.17152658662092624
544,0.0686106346483705
545,0.0686106346483705
546,0.051457975986277875
547,0.10291595197255575
548,0.17152658662092624
549,0.051457975986277875
550,0.137221269296741
551,0.17152658662092624
552,0.137221269296741
553,0.15437392795883362
554,0.03430531732418525
555,0.15437392795883362
556,0.017152658662092625
557,0.0
558,0.051457975986277875
559,0.051457975986277875
560,0.10291595197255575
561,0.12006861063464837
562,0.24013722126929674
563,0.08576329331046312
564,0.03430531732418525
565,0.12006861063464837
566,0.017152658662092625
567,0.08576329331046312
568,0.03430531732418525
569,0.15437392795883362
570,0.08576329331046312
571,0.12006861063464837
572,0.137221269296741
573,0.17152658662092624
574,0.18867924528301885
575,0.137221269296741
576,0.24013722126929674
577,0.08576329331046312
578,0.08576329331046312
579,0.15437392795883362
580,0.017152658662092625
581,0.0686106346483705
582,0.03430531732418525
583,0.17152658662092624
584,0.18867924528301885
585,0.25728987993138935
586,0.4288164665523156
587,0.12006861063464837
588,0.15437392795883362
589,0.03430531732418525
590,0.29159519725557465
591,0.17152658662092624
592,0.30874785591766724
593,0.4974271012006861
594,0.10291595197255575
595,0.17152658662092624
596,0.12006861063464837
597,0.274442538593482
598,0.17152658662092624
599,0.2058319039451115
600,0.08576329331046312
601,0.03430531732418525
602,0.2058319039451115
603,0.15437392795883362
604,0.051457975986277875
605,0.17152658662092624
