,aboard,aboardpass,aboardcrew,fpass,fcrew,gnd,ftot
1570,1.1490683229813663,1.0423452768729642,1.6393442622950818,1.1428571428571428,2.1739130434782608,0.0,1.2692967409948541
1571,0.6987577639751552,0.6188925081433225,1.1475409836065573,0.5178571428571429,0.6521739130434783,0.0,0.548885077186964
1572,1.9875776397515525,1.9055374592833876,1.8032786885245902,2.0892857142857144,2.391304347826087,0.0,2.195540308747856
1573,0.5434782608695652,0.504885993485342,0.6557377049180328,0.017857142857142856,0.0,0.0,0.017152658662092625
1574,1.0248447204968945,0.9120521172638436,1.6393442622950818,0.6785714285714285,1.7391304347826086,0.0,0.7890222984562607
1575,0.06211180124223602,0.0,0.6557377049180328,0.0,0.8695652173913043,0.0,0.0686106346483705
1576,0.27950310559006214,0.2280130293159609,0.6557377049180328,0.25,0.8695652173913043,0.0,0.30874785591766724
1577,0.34161490683229817,0.2931596091205212,0.6557377049180328,0.1607142857142857,0.6521739130434783,0.0,0.2058319039451115
1578,0.34161490683229817,0.2280130293159609,1.3114754098360657,0.19642857142857142,0.8695652173913043,0.0,0.25728987993138935
1579,0.27950310559006214,0.2280130293159609,0.6557377049180328,0.0,0.0,0.0,0.0
1580,0.8850931677018634,0.8631921824104234,0.6557377049180328,0.017857142857142856,0.0,0.0,0.017152658662092625
1581,0.07763975155279502,0.06514657980456026,0.1639344262295082,0.07142857142857142,0.21739130434782608,0.0,0.08576329331046312
